Inverted Checker Board;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Row\Col;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;Number of bad pixels in Row
11;98;206;100;205;100;205;100;205;100;206;100;206;99;206;99;205;99;206;99;206;99;205;100;206;98;204;100;206;99;205;100;205;100;204;100;205;98;204;100;204;100;205;100;204;99;206;99;205;99;205;100;205;100;206;100;204;99;205;98;206;99;205;98;204;99;205;99;205;100;204;101;205;100;204;98;205;98;206;99;205;99;205;99;205;99;205;99;205;99;205;98;206;100;205;100;205;99;206;101;205;98;206;101;204;100;205;99;205;99;205;100;206;0
12;206;101;205;101;205;99;206;100;206;101;206;99;205;99;204;100;206;100;204;99;205;100;205;99;205;98;203;99;205;99;204;99;204;99;204;98;205;99;204;99;205;100;204;99;203;100;205;100;205;100;204;99;205;99;204;99;204;98;204;100;204;99;205;98;205;100;205;99;206;100;205;100;205;99;205;99;205;99;204;100;205;100;206;100;205;99;206;99;206;100;205;100;206;101;205;100;206;99;205;101;204;99;205;101;206;100;205;100;206;100;207;99;0
13;100;206;99;205;101;206;100;205;100;206;99;205;99;204;98;205;100;206;98;205;99;204;99;204;99;205;99;205;98;204;99;205;100;205;99;205;99;206;100;205;98;204;99;204;100;204;98;204;100;204;100;204;99;203;99;203;99;204;99;205;99;205;100;205;98;204;99;205;100;204;98;203;101;205;100;204;100;206;99;205;98;205;100;206;98;204;98;204;101;205;100;204;101;206;101;205;99;205;99;206;99;205;101;204;101;205;100;206;100;207;100;207;0
14;206;99;206;101;204;100;204;99;204;100;205;100;205;99;204;100;205;100;207;100;205;99;205;100;205;99;205;100;205;98;206;99;205;100;204;98;205;99;205;99;205;98;205;99;204;100;206;100;205;100;205;101;205;100;204;101;204;98;204;98;205;98;203;99;206;100;204;99;203;100;205;99;205;99;205;100;205;100;204;98;206;99;206;100;205;98;206;99;206;100;206;99;206;99;205;100;204;98;205;99;205;101;206;100;206;100;207;100;206;101;206;99;0
15;99;204;100;205;99;205;99;204;100;206;100;205;99;206;99;205;100;206;99;205;99;206;99;205;98;204;99;204;100;204;99;205;99;205;98;206;100;204;99;205;99;205;100;205;100;206;99;203;101;206;100;205;99;204;99;205;100;204;101;206;98;204;100;206;99;205;99;205;100;205;99;204;100;204;100;205;98;204;100;203;100;204;99;205;98;205;98;205;99;205;100;204;100;205;100;206;100;204;99;204;99;205;102;205;99;205;98;206;100;206;100;207;0
16;205;101;206;99;206;100;205;99;206;99;206;101;205;99;205;98;204;100;205;100;206;99;205;98;203;99;205;99;204;100;206;99;205;99;205;99;204;99;204;100;204;100;204;100;204;100;203;99;204;99;203;98;204;101;204;100;204;99;206;99;205;99;205;99;204;98;205;101;204;100;204;99;205;100;205;99;205;100;205;100;204;99;204;100;206;100;204;99;203;100;204;99;205;100;205;99;204;98;205;100;205;101;207;100;205;100;205;99;206;99;207;98;0
17;100;205;100;205;99;206;100;205;99;205;99;205;100;206;99;204;100;206;101;205;100;205;100;205;99;206;100;205;99;205;101;205;99;205;100;205;98;204;99;205;99;204;99;204;100;204;100;204;98;204;101;205;100;204;99;204;99;205;99;204;99;206;100;204;99;205;100;205;100;204;100;205;99;205;100;205;100;206;98;205;100;206;99;205;101;204;99;204;100;205;100;204;100;205;99;205;99;204;99;204;101;205;98;203;100;205;99;206;99;204;101;205;0
18;206;99;205;99;205;100;206;99;206;98;205;100;205;99;203;99;204;102;204;100;204;100;205;100;205;99;205;100;204;99;205;99;206;100;205;100;205;100;206;100;204;98;205;100;205;98;205;97;205;99;205;101;204;99;204;100;205;99;206;100;204;100;205;99;205;99;205;100;203;100;205;99;205;101;205;100;206;100;205;100;205;100;206;99;205;99;206;100;205;98;206;100;204;99;206;101;205;98;203;100;206;99;203;100;205;100;205;98;206;101;206;99;0
19;99;205;100;205;100;205;101;206;99;205;100;204;99;206;100;205;100;205;101;204;99;205;99;203;99;204;101;205;100;205;100;206;99;206;101;206;101;205;99;206;99;203;100;204;100;204;100;205;99;205;99;205;99;204;99;201;100;205;101;204;100;204;99;203;101;205;101;205;100;205;100;205;101;204;99;204;99;205;99;204;98;205;99;205;98;205;100;204;100;204;99;206;100;204;100;205;99;204;100;206;101;205;100;205;102;205;98;205;99;206;100;206;0
20;206;101;205;101;205;100;206;99;205;100;206;100;206;101;205;100;205;100;205;100;206;101;205;100;205;98;205;99;204;99;203;100;204;100;205;99;206;98;205;100;203;99;203;100;205;100;204;99;205;100;204;100;204;100;205;100;204;101;206;98;205;98;204;99;205;99;204;99;205;98;205;99;205;99;204;100;205;100;204;100;204;101;205;100;205;100;207;99;205;100;205;100;205;100;205;100;204;100;205;100;205;100;205;100;205;99;205;100;205;99;205;100;0
21;100;206;100;205;99;205;99;206;100;206;100;206;99;206;99;204;100;206;100;205;100;205;101;205;99;204;98;204;99;205;99;204;98;205;100;204;100;205;99;204;100;204;100;205;100;205;99;204;99;205;100;204;99;204;99;203;100;204;99;204;98;204;98;204;100;205;99;204;100;203;99;204;98;204;99;205;98;205;98;207;100;205;101;205;99;204;100;205;99;204;100;204;100;204;98;204;99;205;98;204;99;205;100;204;98;206;100;206;100;205;100;206;0
22;204;100;205;100;205;99;205;99;206;100;205;100;206;100;206;101;205;101;204;101;205;100;205;101;203;100;204;99;204;100;205;99;206;100;205;100;205;100;204;100;204;99;203;99;205;99;204;100;205;100;205;99;204;99;203;99;204;101;204;100;205;99;206;99;206;100;204;99;204;100;203;98;205;99;204;98;205;100;205;99;206;100;206;101;205;100;206;99;205;101;205;101;204;99;206;101;205;98;205;100;206;100;205;100;204;100;206;99;204;99;206;99;0
23;100;205;99;205;100;204;99;204;100;205;100;205;100;205;99;205;100;205;99;204;98;205;100;205;99;205;99;205;99;205;99;206;98;205;100;204;100;204;99;204;99;204;100;205;99;205;98;204;99;204;100;203;99;205;99;204;100;204;99;205;99;207;99;204;99;204;99;204;99;206;99;204;100;205;98;203;99;204;99;204;98;204;98;205;98;205;99;203;99;204;100;206;99;206;100;205;99;204;98;205;99;204;99;204;100;204;101;205;99;206;99;205;0
24;205;100;205;99;205;100;206;100;206;100;205;101;206;99;204;100;205;100;204;100;205;100;205;101;205;100;205;99;205;101;206;99;205;101;204;98;205;99;203;100;203;99;203;99;204;100;203;99;204;100;204;101;204;100;205;100;204;98;205;99;205;101;205;100;204;101;204;100;204;98;205;99;204;99;205;99;203;100;205;100;205;98;206;99;205;100;205;99;206;99;204;99;204;101;205;99;206;100;204;99;205;100;205;100;205;99;205;99;205;101;205;100;0
25;100;205;101;206;98;204;100;206;100;204;99;204;99;205;99;205;100;204;100;205;100;204;100;204;98;205;100;204;99;205;100;204;99;204;100;204;100;203;99;203;100;204;99;205;99;205;100;204;100;204;100;205;100;203;98;204;98;204;100;205;99;204;100;204;100;203;102;204;100;204;99;203;100;205;99;204;99;204;99;205;100;206;100;205;98;205;100;205;100;205;99;204;100;204;99;205;100;204;100;205;100;205;99;204;98;203;100;205;100;203;99;204;0
26;206;101;204;99;205;99;206;100;205;99;205;100;206;100;204;100;204;100;205;98;205;99;205;99;205;100;205;99;204;100;204;101;205;99;204;100;204;98;203;100;205;98;204;99;204;99;204;99;204;99;204;100;203;101;204;100;205;99;206;100;205;99;204;100;204;99;204;99;204;99;204;99;205;99;205;100;205;99;204;98;204;99;205;99;204;99;206;101;205;100;205;100;204;100;205;99;204;100;205;100;204;99;203;99;205;99;205;99;206;100;205;100;0
27;101;206;100;206;99;206;100;205;100;205;100;205;100;204;99;203;101;204;100;205;100;205;99;205;99;204;100;205;100;205;99;204;98;205;99;205;98;203;100;205;100;205;98;204;99;203;100;202;98;205;100;204;100;204;100;203;99;204;100;204;98;204;99;205;101;203;98;205;99;204;98;204;98;204;99;204;98;204;99;204;99;205;99;205;98;204;99;204;99;205;101;204;99;205;98;206;100;206;100;206;100;206;102;204;99;205;99;206;100;207;99;205;0
28;205;99;203;100;204;100;205;100;205;100;203;100;205;100;205;99;205;99;205;101;205;100;205;101;205;99;203;99;204;100;205;99;205;99;204;99;204;99;204;99;204;98;204;99;204;98;205;100;205;100;203;100;204;100;204;99;205;102;205;99;204;100;204;99;205;99;204;100;202;100;204;101;203;100;204;98;204;99;204;100;204;99;206;99;206;98;205;98;203;99;205;98;204;100;205;98;205;100;204;101;205;100;205;99;204;99;206;100;205;100;205;101;0
29;98;205;99;204;101;205;100;206;100;205;100;204;98;205;99;204;100;205;99;204;99;205;100;204;100;204;100;204;100;203;98;205;100;206;100;205;100;204;101;206;100;205;100;205;101;204;100;204;100;203;100;204;100;204;102;202;101;205;99;204;101;205;99;205;100;204;99;204;99;203;99;203;100;203;98;204;99;204;99;204;101;205;99;204;101;206;99;206;101;203;99;204;99;204;99;205;99;204;101;204;99;205;100;205;100;205;99;205;100;205;100;204;0
30;204;100;204;100;204;101;206;99;205;99;205;98;203;100;203;98;205;100;204;100;204;100;204;99;204;100;205;99;206;101;205;100;205;99;205;100;204;100;204;99;203;99;203;99;204;100;204;99;204;100;204;99;204;99;204;98;204;100;205;99;205;99;204;99;205;100;204;99;206;99;203;100;204;99;205;100;203;99;204;99;204;98;203;100;205;98;205;99;204;100;205;99;204;100;206;100;204;101;205;101;203;99;205;100;205;100;205;102;205;100;205;101;0
31;100;205;101;205;99;205;99;204;100;205;100;203;100;204;100;205;99;205;100;205;99;204;99;204;99;203;99;204;98;204;99;205;99;204;100;205;99;204;99;204;99;203;100;204;100;203;100;203;99;205;99;205;100;205;99;204;98;204;99;205;98;205;100;205;100;204;99;205;100;203;99;205;98;203;99;205;99;204;99;204;99;204;99;204;100;204;100;203;101;203;101;204;99;205;99;204;101;205;100;205;100;204;99;205;99;205;99;205;100;206;99;207;0
32;206;100;204;100;204;100;205;99;204;100;205;98;204;100;203;100;205;99;204;101;204;100;205;100;204;98;205;100;204;100;204;100;204;100;205;101;205;100;204;101;203;99;203;100;204;99;204;99;204;99;204;99;204;99;204;99;204;100;204;100;204;100;206;99;203;99;204;99;202;99;204;99;204;100;203;99;204;100;204;98;204;100;206;100;206;101;205;100;205;99;205;99;204;101;204;102;203;100;205;99;205;100;205;99;204;99;205;100;205;98;205;99;0
33;100;205;101;205;99;204;100;205;99;205;98;205;99;204;99;205;100;205;100;205;101;206;101;205;101;204;100;205;101;204;100;206;99;204;99;204;100;203;100;205;99;203;100;204;98;204;99;203;99;205;99;204;99;204;99;203;98;205;98;205;100;205;101;204;98;205;98;206;99;204;100;204;99;204;100;205;99;204;100;204;99;204;101;205;99;205;99;205;99;204;100;206;99;204;100;205;99;203;100;204;99;204;99;205;100;204;99;205;100;205;100;205;0
34;206;100;205;99;204;101;205;102;203;98;204;100;203;99;203;99;203;99;204;99;205;100;204;100;204;100;204;99;205;99;205;100;204;99;204;100;206;99;203;100;204;101;204;100;204;99;206;100;203;99;202;100;202;99;203;99;204;99;204;99;205;101;204;100;205;100;203;101;204;98;204;99;203;100;204;98;204;99;204;99;204;99;205;101;206;99;205;100;205;101;204;101;205;101;204;100;205;99;204;100;204;99;205;100;204;98;205;100;206;99;206;99;0
35;99;206;100;204;99;204;100;205;98;205;99;205;99;206;99;204;100;205;99;204;99;204;101;204;98;203;99;204;100;206;100;205;100;203;100;204;100;204;99;204;100;203;100;204;99;204;100;205;99;204;99;204;98;204;100;203;100;205;99;204;101;205;100;205;99;206;99;204;99;204;99;203;98;205;99;204;99;202;99;204;100;205;99;205;99;205;101;203;101;204;100;204;100;205;99;205;99;205;99;205;101;205;100;205;100;204;100;205;99;206;99;204;0
36;205;99;205;100;205;100;206;100;205;98;205;99;204;100;204;99;204;99;204;98;204;99;204;100;204;99;204;99;203;99;204;100;205;101;203;101;205;100;206;100;204;98;203;97;204;99;203;99;206;101;204;100;205;100;205;101;204;100;204;99;205;99;204;100;204;98;203;100;203;99;205;98;205;100;203;98;205;99;204;99;205;100;206;99;205;100;205;100;204;99;206;99;203;100;204;99;203;99;204;100;204;101;205;100;205;100;206;99;206;100;206;99;0
37;100;205;100;205;99;205;100;206;99;205;99;205;99;203;99;205;101;204;100;206;100;204;99;204;100;204;99;204;98;204;98;205;100;204;99;203;99;203;98;205;99;203;99;203;97;204;99;204;100;204;99;205;100;205;101;204;99;205;100;204;100;205;100;204;101;204;100;205;99;205;101;203;100;206;100;205;100;205;100;204;99;205;101;206;100;205;100;204;100;204;100;205;99;205;100;205;99;205;100;204;100;205;100;205;100;203;99;206;99;206;100;204;0
38;205;100;204;99;205;99;204;98;205;100;204;100;204;100;204;99;205;99;203;99;205;99;204;99;204;99;203;98;204;99;203;99;204;100;205;100;205;99;203;100;203;100;204;99;204;99;203;101;204;100;204;98;205;100;203;100;204;100;204;101;205;99;206;100;204;100;205;99;204;98;204;99;203;99;203;100;204;99;204;99;206;99;206;100;204;100;204;99;204;100;203;99;204;101;204;99;205;100;205;101;206;100;205;100;203;100;205;100;205;100;203;100;0
39;101;205;100;205;100;204;101;205;99;204;100;205;100;204;98;205;101;205;99;204;102;204;100;204;100;205;99;205;99;205;99;205;99;204;101;204;99;204;100;204;99;203;98;204;99;205;101;204;100;204;99;204;100;202;99;203;99;206;100;205;99;205;100;205;99;205;98;204;100;204;100;205;100;204;99;204;98;203;100;205;99;204;101;205;99;206;99;204;100;204;100;205;100;206;100;204;100;204;99;205;100;206;101;205;99;206;100;206;101;205;99;205;0
40;204;99;205;100;204;100;205;100;205;99;205;99;205;98;204;100;205;100;204;101;204;99;204;99;204;99;204;100;204;98;206;100;205;100;205;100;205;100;203;100;204;99;204;99;204;100;205;98;204;100;204;100;205;100;205;99;203;100;205;99;205;100;204;98;203;100;204;100;204;99;203;100;204;99;204;101;203;99;203;99;204;100;204;101;204;100;205;99;205;100;203;100;205;99;205;101;205;101;204;100;205;102;205;100;205;99;205;101;206;100;206;99;0
41;100;205;101;206;100;206;101;204;99;205;100;204;99;205;100;204;99;206;101;204;99;204;100;204;100;205;99;204;99;205;99;204;99;205;100;204;99;204;99;204;99;203;99;203;99;204;99;203;99;204;99;204;99;203;99;204;100;203;100;203;100;204;99;204;100;205;102;205;98;205;99;204;98;205;99;205;99;205;99;205;103;204;101;205;100;206;99;204;100;205;99;205;99;205;100;205;99;206;99;204;99;204;100;205;99;205;98;205;99;205;100;206;0
42;204;100;205;99;204;99;205;99;204;100;204;100;205;99;204;99;203;100;205;100;203;101;204;99;204;99;203;99;204;99;205;99;205;98;204;100;204;100;204;99;204;100;203;99;202;99;204;98;205;99;203;99;204;100;204;99;203;100;205;99;204;99;205;99;204;98;204;100;204;99;206;98;204;100;204;99;204;99;204;101;204;100;204;100;204;100;204;98;203;99;205;100;205;100;205;100;205;100;204;100;204;100;206;99;205;102;205;100;206;100;204;99;0
43;101;206;99;205;99;205;101;206;100;204;100;205;99;205;98;204;101;206;99;205;99;204;98;204;99;205;99;204;99;204;99;205;100;203;99;204;100;204;100;204;101;204;100;204;100;205;100;204;98;204;99;204;100;203;100;205;100;205;100;205;99;204;100;204;98;204;99;205;99;204;99;204;100;203;100;204;99;204;101;204;99;204;99;204;99;204;98;203;100;204;101;205;101;205;99;204;99;204;98;203;100;204;101;203;100;204;99;205;100;206;100;204;0
44;205;98;205;100;204;99;204;99;205;100;205;100;204;100;204;100;204;99;204;100;204;100;204;100;204;98;205;100;205;98;204;99;205;100;204;99;204;99;204;100;205;100;205;100;204;100;204;101;202;99;204;99;205;100;204;98;203;99;205;99;205;98;205;100;206;99;203;98;203;98;205;100;204;100;204;101;205;99;204;98;205;99;205;100;206;99;204;99;205;100;205;101;205;101;205;101;205;100;204;100;204;101;204;100;204;99;206;100;206;100;206;99;0
45;100;204;100;205;98;204;100;205;100;205;99;203;98;204;99;206;99;206;99;205;99;205;100;205;99;204;99;203;98;204;99;204;99;205;100;205;99;203;100;203;100;203;100;206;99;205;99;205;99;204;100;204;99;205;99;204;101;205;101;203;100;205;99;203;99;204;99;205;99;204;99;203;100;203;99;202;98;203;99;203;100;207;102;205;101;206;102;205;99;204;101;203;99;204;100;205;99;205;100;205;99;204;100;204;99;205;99;204;100;206;101;205;0
46;205;99;203;100;204;100;205;98;206;100;206;99;204;101;203;99;205;99;204;99;204;98;204;99;204;99;203;99;205;100;203;100;205;100;204;98;205;100;204;100;204;99;204;100;204;98;204;98;204;99;203;99;205;99;203;99;204;100;205;99;204;99;204;99;204;98;204;100;205;100;204;99;204;99;204;100;203;99;202;99;204;98;206;100;205;100;206;100;205;100;206;101;204;101;203;100;203;99;204;101;205;100;204;101;204;100;205;100;205;99;205;101;0
47;99;203;100;205;99;204;101;205;100;206;99;204;100;205;99;205;100;205;100;205;100;205;101;204;99;204;99;204;100;204;99;205;98;205;100;204;100;204;100;203;100;203;100;205;99;205;99;201;99;204;99;205;99;204;101;204;98;205;100;204;99;204;99;203;99;205;99;203;99;204;100;204;99;205;99;203;99;204;100;206;100;204;99;204;100;204;99;204;99;205;99;205;99;204;100;206;99;205;98;205;101;205;98;204;98;204;99;204;101;206;101;206;0
48;205;99;205;100;205;99;204;100;205;98;205;99;204;99;204;99;205;99;205;99;205;101;204;100;205;100;203;99;205;100;205;100;204;100;205;99;204;100;205;99;204;101;204;99;205;99;205;99;203;100;205;100;205;100;204;100;204;99;203;100;204;100;204;100;204;98;204;98;204;99;205;99;204;99;204;100;205;99;203;99;205;100;205;99;204;100;205;99;205;100;204;102;205;99;205;100;206;99;204;101;204;99;206;99;204;99;204;100;204;99;205;100;0
49;100;205;100;206;100;205;100;206;101;207;101;206;99;207;98;204;101;205;100;206;102;205;100;205;100;203;99;203;99;204;99;204;99;204;101;206;100;204;100;203;99;204;99;204;101;205;100;204;100;204;98;203;99;204;100;203;98;206;99;204;100;204;100;205;100;203;100;204;99;203;101;205;99;203;99;204;100;205;100;205;100;205;99;205;100;204;99;204;100;204;100;205;99;206;99;203;98;204;99;206;100;204;99;205;100;206;99;206;101;204;100;205;0
50;206;100;205;100;204;100;206;99;205;100;205;99;204;100;204;100;204;99;205;101;205;101;204;100;204;99;204;101;204;101;205;100;206;99;206;99;204;99;204;99;204;99;203;100;205;100;204;100;204;100;204;99;205;100;205;99;205;100;203;100;205;100;205;99;203;98;203;100;204;100;204;98;204;99;203;99;204;99;206;100;204;100;206;99;205;99;205;100;204;100;205;99;205;100;205;100;204;100;206;100;206;101;203;101;206;99;205;101;205;100;205;100;0
51;99;204;99;204;99;204;99;205;99;204;99;205;98;205;99;203;101;205;101;204;100;205;100;205;101;203;98;204;100;206;99;205;100;206;100;205;100;204;99;203;99;205;98;204;99;204;99;202;99;206;100;204;101;205;100;205;98;204;99;204;100;204;99;204;99;204;99;204;100;204;99;205;99;204;99;203;98;205;99;204;100;205;100;206;100;204;100;204;99;205;98;205;99;204;99;205;99;205;99;205;100;204;99;205;99;204;100;204;101;205;100;206;0
52;204;100;204;99;204;101;204;100;205;100;206;101;204;100;205;101;204;100;205;99;205;99;205;101;204;101;204;99;205;100;205;99;206;99;204;100;204;99;204;101;204;97;204;101;204;100;204;99;203;100;205;100;203;101;204;100;203;100;204;100;205;100;205;98;204;100;203;99;203;98;204;101;205;100;204;99;206;99;205;100;205;101;205;99;204;100;205;99;205;101;204;100;204;102;204;101;206;100;204;99;204;99;205;99;205;99;203;99;205;99;205;98;0
53;98;205;100;204;100;205;99;205;99;207;99;204;99;205;99;204;99;204;100;205;99;205;99;203;99;204;100;204;99;203;100;203;99;205;99;205;100;205;99;204;100;204;100;206;101;206;100;205;99;205;99;204;99;204;99;204;101;205;99;205;100;205;99;204;99;206;99;204;100;205;100;204;100;205;100;203;101;204;98;204;101;205;100;206;100;204;100;206;100;204;100;204;99;205;99;206;100;204;98;204;98;204;100;204;101;206;99;206;99;206;100;205;0
54;206;100;204;101;204;99;206;99;205;99;205;100;204;101;205;99;205;100;204;100;204;100;205;100;205;101;205;101;203;99;204;99;205;99;203;100;204;99;203;99;204;100;206;100;203;100;205;99;205;101;204;99;204;100;204;100;205;100;205;99;205;99;205;99;205;99;203;99;204;100;204;99;205;99;204;100;204;99;204;98;206;99;206;99;206;100;205;99;204;99;205;100;205;100;204;100;205;100;204;101;206;99;206;98;205;99;204;100;205;98;206;99;0
55;101;206;100;205;100;205;100;206;98;205;99;203;99;204;99;205;100;204;100;204;99;203;99;204;99;204;99;204;100;204;100;205;100;203;99;205;99;205;100;204;100;204;100;204;99;204;100;205;99;203;99;205;99;204;99;204;99;204;101;204;101;205;99;204;100;204;98;203;98;205;99;204;98;204;99;204;100;203;100;205;98;205;101;205;101;206;99;205;101;206;100;206;100;206;101;206;99;204;99;204;99;204;99;204;99;206;100;205;100;206;100;206;0
56;205;100;205;101;206;99;206;101;206;99;205;100;205;98;202;100;206;99;205;99;205;102;204;101;204;98;204;100;204;100;204;99;204;101;204;101;206;100;205;101;205;101;205;98;204;99;204;99;203;101;205;101;204;100;204;99;204;99;205;99;203;99;204;98;205;100;205;100;204;100;205;101;204;99;204;100;205;99;205;100;205;100;205;100;206;99;206;98;204;100;204;99;203;98;205;99;204;100;204;100;204;101;205;99;206;99;205;99;206;99;206;99;0
57;99;205;100;205;100;205;100;206;100;205;98;204;99;204;100;203;100;206;99;206;100;204;100;205;99;203;101;205;98;205;100;204;98;203;98;205;98;203;100;204;100;204;98;203;100;205;100;204;100;204;100;205;101;204;100;204;100;204;100;205;99;204;99;204;100;205;98;205;98;205;99;204;100;204;99;205;99;203;100;204;98;204;99;206;101;205;99;205;100;206;100;205;99;206;98;206;100;205;100;204;99;206;100;206;102;204;100;206;100;206;98;205;0
58;206;100;205;101;205;100;206;100;205;100;205;100;205;99;204;100;203;100;204;100;204;100;205;99;204;99;203;99;205;100;205;99;206;99;204;98;205;99;205;99;204;98;204;99;203;99;205;98;204;99;203;100;204;99;205;100;204;100;205;98;204;99;205;98;204;100;204;100;205;100;203;100;205;99;204;99;204;100;204;101;204;100;205;101;205;99;205;100;204;100;204;101;205;99;206;100;204;100;205;100;203;100;204;99;205;100;205;100;204;99;205;99;0
